"Title";"Date";"Standard round";"Indoor";"Bow";"Arrow";"Round";"Distance";"Target";"End";"Timestamp";"Points";"Arrow numbers";"x";"y"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"1";"09:51:04.924";"9";"";"-0.0767442";"-0.034883738"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"1";"09:51:04.924";"9";"";"-0.032558203";"-0.07818198"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"1";"09:51:04.924";"9";"";"-0.06511629";"-0.0930233"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"1";"09:51:04.924";"9";"";"-0.06744182";"-0.15813947"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"1";"09:51:04.924";"9";"";"0.1325581";"0.116279125"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"1";"09:51:04.924";"9";"";"0.0023255348";"0.12790704"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:53:56.146";"9";"";"0.0069767237";"0.023255825"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:53:56.146";"9";"";"-0.12325585";"-0.13953495"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:53:56.146";"9";"";"-0.17906976";"-0.07695055"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:53:56.146";"9";"";"-0.11162794";"-0.079069614"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:53:56.146";"7";"";"-0.116279125";"0.23023272"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:53:56.146";"7";"";"0.16976738";"0.18372107"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:59:27.197";"7";"";"0.15673506";"-0.21162796"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:59:27.197";"7";"";"-0.116279125";"0.1930232"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:59:27.197";"7";"";"0.07906973";"0.32325578"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:59:27.197";"9";"";"-0.12558138";"-0.11395335"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:59:27.197";"9";"";"-0.0069767237";"-0.08139539"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"09:59:27.197";"9";"";"0.0767442";"-0.10232544"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"10:04:01.431";"9";"";"0.06279063";"-0.13953495"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"10:04:01.431";"9";"";"0.13245893";"-0.079169035"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"10:04:01.431";"9";"";"-0.100000024";"0.06744194"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"10:04:01.431";"9";"";"0.0116279125";"0.16744184"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"10:04:01.431";"7";"";"0.06713271";"-0.23720932"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"2";"10:04:01.431";"7";"";"0.31162786";"0.17209315"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"3";"10:08:05.949";"9";"";"0.020930171";"-0.07192516"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"3";"10:08:05.949";"9";"";"-0.030232549";"0.018604755"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"3";"10:08:05.949";"9";"";"-0.040419936";"0.13023257"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"3";"10:08:05.949";"9";"";"0.11162794";"0.004651308"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"3";"10:08:05.949";"9";"";"0.10465121";"-0.095348835"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"3";"10:08:05.949";"7";"";"0.31395352";"-0.16976738"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"4";"10:12:17.982";"9";"";"-0.027907014";"-0.074418545"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"4";"10:12:17.982";"9";"";"0.06744182";"-0.15813947"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"4";"10:12:17.982";"9";"";"0.16744184";"0.034883738"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"4";"10:12:17.982";"9";"";"0.1172204";"0.11395359"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"4";"10:12:17.982";"7";"";"-0.21130657";"-0.15813947"
"Training";"2022-10-23";"252 at 20y";"Indoor";"";"";"1";"20yd";"WA Full (122cm)";"4";"10:12:17.982";"5";"";"0.25581396";"-0.3465116"
